analysis_type,comparison_id,dataset_id,sample_id,dose_label,role,reference_dataset_id,current_value,current_unit,geometry,wavelength_nm,sample_signal_raw,blank_signal_raw,sample_signal_net,blank_signal_net,sample_signal_gated,blank_signal_gated,sample_above_floor,blank_above_floor,valid_ratio_region,absolute_signal_difference,fractional_signal_loss,transmittance,transmittance_smooth,absorbance,absorbance_smooth,attenuation_coeff_1_per_mm,attenuation_coeff_1_per_mm_smooth,trusted_for_integrals,note,sample_shape_norm,sample_shape_norm_smooth,scattering_signal_raw,scattering_signal_gated,scattering_blank_signal_gated,scattering_signal_net,scattering_shape_norm,scattering_shape_norm_smooth
same_current_transmittance,sample_whiteLED_direct_40uA_test_vs_direct_blank,sample_whiteLED_direct_40uA_test,scintillator_test,test_format,sample,direct_blank,40.0,uA,direct,539.03302,0.08738329262,0.3866954744,0.0875818934046,0.3869467495671,0.0875818934046,0.3869467495671,True,True,True,0.2993648561625,0.7736590538553871,0.2263409461446129,0.22512550321271121,0.6452368730179722,0.6476701579175849,0.14857128052612747,0.149131565079813,True,Same-current direct transmittance after residual-baseline subtraction and noise-floor gating.,,,,,,,,
same_current_transmittance,sample_whiteLED_direct_40uA_test_vs_direct_blank,sample_whiteLED_direct_40uA_test,scintillator_test,test_format,sample,direct_blank,40.0,uA,direct,539.2583618,0.08510123938,0.3897308111,0.0852998401646,0.3899820862671,0.0852998401646,0.3899820862671,True,True,True,0.3046822461025,0.7812724143791111,0.2187275856208889,0.22510415459421118,0.6600964408881435,0.6476982249207162,0.15199282247274642,0.14913802774611454,True,Same-current direct transmittance after residual-baseline subtraction and noise-floor gating.,,,,,,,,
same_current_transmittance,sample_whiteLED_direct_40uA_test_vs_direct_blank,sample_whiteLED_direct_40uA_test,scintillator_test,test_format,sample,direct_blank,40.0,uA,direct,539.4837036,0.08539346606,0.3922539353,0.08559206684460001,0.3925052104671,0.08559206684460001,0.3925052104671,True,True,True,0.3069131436225,0.7819339347298311,0.2180660652701689,0.22503904468345054,0.661411912654059,0.647820617834722,0.1522957210405916,0.14916620975604236,True,Same-current direct transmittance after residual-baseline subtraction and noise-floor gating.,,,,,,,,
same_current_transmittance,sample_whiteLED_direct_40uA_test_vs_direct_blank,sample_whiteLED_direct_40uA_test,scintillator_test,test_format,sample,direct_blank,40.0,uA,direct,539.7090454,0.08849692345,0.3900215626,0.0886955242346,0.3902728377671,0.0886955242346,0.3902728377671,True,True,True,0.30157731353249995,0.7727345701482558,0.2272654298517442,0.2251213825487461,0.6434666213205898,0.64765525040772,0.14816366500920347,0.14912813249881415,True,Same-current direct transmittance after residual-baseline subtraction and noise-floor gating.,,,,,,,,
same_current_transmittance,sample_whiteLED_direct_40uA_test_vs_direct_blank,sample_whiteLED_direct_40uA_test,scintillator_test,test_format,sample,direct_blank,40.0,uA,direct,539.9344482,0.08666279167,0.3857345879,0.0868613924546,0.3859858630671,0.0868613924546,0.3859858630671,True,True,True,0.29912447061249997,0.7749622440459691,0.22503775595403083,0.22552395623901983,0.6477446115469112,0.6468691100554819,0.14914870866151367,0.14894711699320776,True,Same-current direct transmittance after residual-baseline subtraction and noise-floor gating.,,,,,,,,
same_current_transmittance,sample_whiteLED_direct_40uA_test_vs_direct_blank,sample_whiteLED_direct_40uA_test,scintillator_test,test_format,sample,direct_blank,40.0,uA,direct,540.15979,0.0878970474,0.3953408599,0.0880956481846,0.3955921350671,0.0880956481846,0.3955921350671,True,True,True,0.3074964868825,0.7773068765139699,0.2226931234860301,0.2260529124753085,0.6522931932855857,0.6458468746364534,0.15019605831208732,0.14871173858946915,True,Same-current direct transmittance after residual-baseline subtraction and noise-floor gating.,,,,,,,,
same_current_transmittance,sample_whiteLED_direct_40uA_test_vs_direct_blank,sample_whiteLED_direct_40uA_test,scintillator_test,test_format,sample,direct_blank,40.0,uA,direct,540.3851929,0.08877097815,0.3948075473,0.0889695789346,0.3950588224671,0.0889695789346,0.3950588224671,True,True,True,0.3060892435325,0.7747940967904614,0.22520590320953857,0.22593487715887522,0.6474202297277655,0.6460795457859899,0.1490740169873933,0.14876531310151844,True,Same-current direct transmittance after residual-baseline subtraction and noise-floor gating.,,,,,,,,
same_current_transmittance,sample_whiteLED_direct_40uA_test_vs_direct_blank,sample_whiteLED_direct_40uA_test,scintillator_test,test_format,sample,direct_blank,40.0,uA,direct,540.6106567,0.08834224194,0.3920454681,0.0885408427246,0.3922967432671,0.0885408427246,0.3922967432671,True,True,True,0.3037559005425,0.7743013567045702,0.22569864329542977,0.22575116767327405,0.6464710515162979,0.6464359655079347,0.14885546062736132,0.14884738177537835,True,Same-current direct transmittance after residual-baseline subtraction and noise-floor gating.,,,,,,,,
same_current_transmittance,sample_whiteLED_direct_40uA_test_vs_direct_blank,sample_whiteLED_direct_40uA_test,scintillator_test,test_format,sample,direct_blank,40.0,uA,direct,540.8360596,0.08685067296,0.3883066177,0.0870492737446,0.3885578928671,0.0870492737446,0.3885578928671,True,True,True,0.30150861912250004,0.7759683297068584,0.22403167029314164,0.22564499646859976,0.6496905831777992,0.6466294487951534,0.14959678518838085,0.1488919329486677,True,Same-current direct transmittance after residual-baseline subtraction and noise-floor gating.,,,,,,,,
same_current_transmittance,sample_whiteLED_direct_40uA_test_vs_direct_blank,sample_whiteLED_direct_40uA_test,scintillator_test,test_format,sample,direct_blank,40.0,uA,direct,541.0614624,0.09101848304,0.3961637914,0.0912170838246,0.3964150665671,0.0912170838246,0.3964150665671,True,True,True,0.3051979827425,0.769895012784132,0.23010498721586797,0.22552082738144838,0.6380739684810321,0.6468680338387868,0.14692196080519773,0.14894686918515587,True,Same-current direct transmittance after residual-baseline subtraction and noise-floor gating.,,,,,,,,
